English	Simplified
row	
listener	
why is the kid walking around freely	
can i have a try	
I went shopping yesterday.	
I’ve been living on campus for two years. I’d like to move off campus.	
Miss Wang emailed my older sister. (use “了 … 了”)	
Little Li went to the library right after the Chinese class.	
Last Saturday, I saw Dr Bai at the airport.	
I want to go to the library on Wednesday evening, but my friend will treat me to Chinese food then, so I’m not going to go to the library.	
I’ll go to the airport after this meeting.	
i&#39;m sorry to hear that	
respond to yutao	
my shoelace is untied 	
give it a try	
flash cards	
i do not trust this audio	
i don’t know yet	
i don’t know yet if i’m going to go to the (ball) game	
test	test response
that's too complicated; you just need to say X	这个太复杂了；你只用说X就好了
anyway	总而言之
i've changed my mind	我改变主意了
He was on the plane for two and something hours	他坐飞机坐了两个多小时
After he got off the plane, he called a taxi and got to his dorm very fast	下飞机以后，马上叫了一辆出租汽车，很快就到了学校宿舍。
I'm a grad student. I'm here helping incoming students to move-in	我是研究生。在这里帮新生搬东西
I take the plane first, and I take the taxi from the airport to school	我先坐飞机，从机场到学校坐出租汽车
Some people likes to live in the dorms. It's convinient and safe.	有的人喜欢住在学校宿舍，觉得又方便又安全
Some people likes to live off campus because the houses off campus are cheaper	有的人喜欢住在校外，因为校外的房子比较便宜。
i moved from dc to aa	
X has many advantages (好处）？	
research lab	
i play the cello	
问Jake好[Rose]	
i need to charge my computer	
i bet i can name everybody in this picture	
do you have chapstick	
"the ""的"" comes right after the verb"	
random	
column	
otherwise	
speaker	
We finished eating.	
My older brother has been learning Chinese for three years.	
Little Li has been swimming for two hours.	
I’ve watched the movie three times, and I don’t want to watch it again.	
Dr Li has already bought five pairs of shoes, she will purchase one more (pair of shoes) and that’ll be plenty.	
Miss Bai has been in the library all afternoon, now she wants to get dinner.	
I’ve been living on campus for two years. I’d like to move off campus.	
Miss Wang emailed my older sister. (use “了 … 了”)	
Little Li went to the library right after the Chinese class.	
Last Saturday, I saw Dr Bai at the airport.	
I want to go to the library on Wednesday evening, but my friend will treat me to Chinese food then, so I’m not going to go to the library.	
I’ll go to the airport after this meeting.	
i&#39;m sorry to hear that	
respond to yutao	
my shoelace is untied 	
give it a try	
flash cards	
i do not trust this audio	
i don’t know yet	
i don’t know yet if i’m going to go to the (ball) game	
to look up something online	
test	
Really? Then I'm going to move off campus in the future.	真的吗？那我以后也搬到校外去。
You just came living on campus will benefit you, you can get used to school life.	你刚来，在学校住对你有好处，可以适应一下学校的生活
There's no one in front, let me move the luggages in	前面没人了，我帮你把行李搬进去吧。
Eh? Where's my computer? Oh no! I might have left the computer in the cab!	哎，我的电脑呢？ …… 糟糕，电脑可能拉(落)在出租车上了
I'll go find you after this class ends	我下了这节课再去找你
Don't worry, she's safe now	你不必担心，她现在很安全。
highschool	高中
i moved from dc to aa	我从dc搬到aa
X has many advantages (好处）？	X有很多的好处
Has a little problem	有点问题
research lab	实验室
Starting from next week, my office hours will be changed to tuesday, 1pm to 3pm. Zoom link.	从下个星期开始，我的办公时间（office hour）改到星期二，下午1点到3点。Zoom的链接
i play the cello	我拉大提琴
Mom, my phone is out of battery, i'm with jake, I was worried that you'll call me and the call won't go through	妈妈我手机没电了，我和jake在一起，我怕你给我打电话打不通
Ok, phew, i thought jake was calling me mom [tongue]	好的，吓我一跳，以为Jake在叫我妈妈[Tongue]
say hi to jake!	问jake好 [Rose]
i need to charge my computer	我需要充我电脑的电
i bet i can name everybody in this picture	我打赌我可以叫上这张照片里所有人的名字
do you have chapstick	你有唇膏吗
"the ""的"" comes right after the verb"	动词之后就是“的”
the sentence at the bottom of the screen	屏幕底部的句子
could you go back a slide (ppt)	你可以退回到上一页吗？
random	
I went shopping with my friends yesterday. （use 是... 的）	
We went to the mall by car. （use 是... 的）	
We went shopping at the Big Blue mall. （use 是... 的）	
We went there at 10 am. （use 是... 的）	
I bought a pair of pants and some other clothes. （use 是... 的）	
We went to a movie right after shopping. （use 是... 的）	
Miss Gao’s mom drank two cups of tea yesterday.	
Dr. Li invited me to dinner this Tuesday.	
Tomorrow I’ll watch a movie after I eat dinner.	
Little Wang’s oldest brother drank two bottles of water after he had dinner.	
Did Li You drank coffee yesterday?	
Little Wang left the classroom.	
We finished eating.	
My older brother has been learning Chinese for three years.	
Little Li has been swimming for two hours.	
I’ve watched the movie three times, and I don’t want to watch it again.	
Dr Li has already bought five pairs of shoes, she will purchase one more (pair of shoes) and that’ll be plenty.	
Miss Bai has been in the library all afternoon, now she wants to get dinner.	
I’ve been living on campus for two years. I’d like to move off campus.	
Miss Wang emailed my older sister. (use “了 … 了”)	
Little Li went to the library right after the Chinese class.	
Last Saturday, I saw Dr Bai at the airport.	
I want to go to the library on Wednesday evening, but my friend will treat me to Chinese food then, so I’m not going to go to the library.	
I’ll go to the airport after this meeting.	
i don’t know yet if i’m going to go to the (ball) game	
to look up something online	
test	
is there supposed to be a le in this sentence	
you left your hair tie at my place	
that freshman was born in china, but raised in the US	那个一年级的新生在中国出生，（是）在美国长大的
there were many people in the dorm, but except for his brother he didn't know anyone else	宿舍里人很多，但是除了他哥哥以外，背的人都不认识。
do we have any (countable object, e.g. dogs)	
i don’t understand when to use X versus when to use Y	
I went shopping with my friends yesterday. （use 是... 的）	
We went to the mall by car. （use 是... 的）	
We went shopping at the Big Blue mall. （use 是... 的）	
We went there at 10 am. （use 是... 的）	
I bought a pair of pants and some other clothes. （use 是... 的）	
We went to a movie right after shopping. （use 是... 的）	
Miss Gao’s mom drank two cups of tea yesterday.	
Dr. Li invited me to dinner this Tuesday.	
Tomorrow I’ll watch a movie after I eat dinner.	
Little Wang’s oldest brother drank two bottles of water after he had dinner.	
Did Li You drank coffee yesterday?	
Little Wang left the classroom.	
We finished eating.	
My older brother has been learning Chinese for three years.	
Little Li has been swimming for two hours.	
I’ve watched the movie three times, and I don’t want to watch it again.	
Dr Li has already bought five pairs of shoes, she will purchase one more (pair of shoes) and that’ll be plenty.	
Miss Bai has been in the library all afternoon, now she wants to get dinner.	
I’ve been living on campus for two years. I’d like to move off campus.	
Miss Wang emailed my older sister. (use “了 … 了”)	
Little Li went to the library right after the Chinese class.	
Last Saturday, I saw Dr Bai at the airport.	
I want to go to the library on Wednesday evening, but my friend will treat me to Chinese food then, so I’m not going to go to the library.	
I’ll go to the airport after this meeting.	
i don’t know yet if i’m going to go to the (ball) game	
to look up something online	
test	
is there supposed to be a le in this sentence	
you left your hair tie at my place	
u sus	
there is a book -lying- on the desk	你能拿多少行李
there are some students in the classroom	教室里有一些学生
on the desk is a map (and no other items)	桌子上是一张地图
someone is sitting on the bed	床上坐着一个人
at that moment, a man walked over from the front	这个时间从前边走来一个男人
he was wearing a white shirt and carrying a red blanket in his hand	他身上穿着一件白衬衫，手里拿着一条红毯子
the film start's at 2. it's almost 2:30. we'd better get going	电影两点开始，现在差不多一点半了，快走吧
did you two know each other before taking this class?	
which part of studying this subject do you find most hard?	
i’m trying to figure out how 一般 works 	
random	随机
if nobody raises their hand, i'll just call names	如果没有人举手，我就要点名了
column	列
row	排/行
otherwise	否则
speaker (the device)	音箱
speaker (person speaking)	演讲者
at what (specific) time did you come to Ann Arbor?	你几点来的安娜堡啊？
why is the kid walking around freely	为什么这个小孩子走来走去的？
my phone's hotspot and sweetwater's wifi, neither are working	我的热点和sweetwaters的wifi都不管用
can i have a try	我可以试一试吗
Really? Then I'll move off campus in the future too!	真的吗？那我以后也搬到校外去
I went shopping yesterday.	
I went shopping with my friends yesterday. （use 是... 的）	
We went to the mall by car. （use 是... 的）	
We went shopping at the Big Blue mall. （use 是... 的）	
We went there at 10 am. （use 是... 的）	
I bought a pair of pants and some other clothes. （use 是... 的）	
We went to a movie right after shopping. （use 是... 的）	
Miss Gao’s mom drank two cups of tea yesterday.	
Dr. Li invited me to dinner this Tuesday.	
Tomorrow I’ll watch a movie after I eat dinner.	
Little Wang’s oldest brother drank two bottles of water after he had dinner.	
Did Li You drank coffee yesterday?	
Little Wang left the classroom.	
We finished eating.	
My older brother has been learning Chinese for three years.	
Little Li has been swimming for two hours.	
I’ve watched the movie three times, and I don’t want to watch it again.	
Dr Li has already bought five pairs of shoes, she will purchase one more (pair of shoes) and that’ll be plenty.	
Miss Bai has been in the library all afternoon, now she wants to get dinner.	
I’ve been living on campus for two years. I’d like to move off campus.	
Miss Wang emailed my older sister. (use “了 … 了”)	
Little Li went to the library right after the Chinese class.	
Last Saturday, I saw Dr Bai at the airport.	
i do not trust this audio	
i don’t know yet	
i don’t know yet if i’m going to go to the (ball) game	
to look up something online	
test	
is there supposed to be a le in this sentence	
i need a piece of paper	
there is a chair in front of the bed	床前有一把位子
next to the desk, there is a wardrobe （and nothing else)	桌子的旁边是衣柜
there are three photos placed upon the bookshelf	书架上摆着三张照片
the boy is holding a model plane in his hand	那个男孩子手里拿着一个小飞机
someone is sitting on the bed	床上坐着一个人
i'm about the same height as my girlfriend [sarcasm]	我跟我姐姐差不多高
i just woke up half an hour ago	
i took a quick shower 	
did you two know each other before taking this class?	
which part of studying this subject do you find most hard?	
i’m trying to figure out how 一般 works 	
at least it’ll finally be repaired	
for example, the cafeteria is just downstairs	
i can't read your name (as in, can't recognize the characters)	
say the full sentence	
measure word	
opposite of 老	
it's very quiet here. let's sit a while	这里安静得很，我们就在这里坐一下吧
monday-friday she usually eats at the school cafeteria. on weekends, she often goes out to eat	星期一到星期五，她一般都在学校餐厅吃饭，周末常常去饭馆。
this library is not that great. there are very few books	这个图书馆不怎么样，书很少
what do you think about this building? A: not that great. it's small and old	你觉得这栋楼怎么样？A：不怎么样，又小又旧
what do you think about how the furniture in this room is arranged?	你觉得这波房间的家具摆得怎么样
not good. the bed should be on the right, and the desk should be against the window	不怎么样，床应该靠右，书桌应该靠窗户
his beijing dialect is really good	他说的北京话很地道
this is authentic chinese food	这是地道的中国菜
i bought some authentic japanese tea today	我今天买了一些地道的日本茶
why X instead of Y?	
i don't care	
random	随机
if nobody raises their hand, i'll just call names	如果没有人举手，我就要点名了
column	列
row	排/行
otherwise	否则
speaker (the device)	音箱
speaker (person speaking)	演讲者
at what (specific) time did you come to Ann Arbor?	你几点来的安娜堡啊？
why is the kid walking around freely	为什么这个小孩子走来走去的？
my phone's hotspot and sweetwater's wifi, neither are working	我的热点和sweetwaters的wifi都不管用
can i have a try	我可以试一试吗
Really? Then I'll move off campus in the future too!	真的吗？那我以后也搬到校外去
Basically means to work hard every day and to improve every day	天天向上
He'll come back to China tomorrow	明天他就要从中国回来了
I went shopping yesterday.	
I went shopping with my friends yesterday. （use 是... 的）	
We went to the mall by car. （use 是... 的）	
We went shopping at the Big Blue mall. （use 是... 的）	
We went there at 10 am. （use 是... 的）	
I bought a pair of pants and some other clothes. （use 是... 的）	
We went to a movie right after shopping. （use 是... 的）	
Miss Gao’s mom drank two cups of tea yesterday.	
Dr. Li invited me to dinner this Tuesday.	
Tomorrow I’ll watch a movie after I eat dinner.	
Little Wang’s oldest brother drank two bottles of water after he had dinner.	
Did Li You drank coffee yesterday?	
Little Wang left the classroom.	
We finished eating.	
My older brother has been learning Chinese for three years.	
Little Li has been swimming for two hours.	
I’ve watched the movie three times, and I don’t want to watch it again.	
Dr Li has already bought five pairs of shoes, she will purchase one more (pair of shoes) and that’ll be plenty.	
Miss Bai has been in the library all afternoon, now she wants to get dinner.	
I’ve been living on campus for two years. I’d like to move off campus.	
Miss Wang emailed my older sister. (use “了 … 了”)	
give it a try	
flash cards	
i do not trust this audio	
i don’t know yet	
i don’t know yet if i’m going to go to the (ball) game	
to look up something online	
do we have any (countable object, e.g. dogs)	
i'm a freshman (colloquial)	我大一
there is a book -lying- on the desk	你能拿多少行李
there are some students in the classroom	教室里有一些学生
on the desk is a map (and no other items)	桌子上是一张地图
there are three photos placed upon the bookshelf	书架上摆着三张照片
there's a street right outside the window... it must be very noisy here, right?	窗户外有一条马路，这里恐怕很吵吧？
how much luggage are you allowed to take?	你能带多少行李
how much luggage can you carry	你能拿多少行李
i just woke up half an hour ago	
i took a quick shower 	
did you two know each other before taking this class?	
which part of studying this subject do you find most hard?	
i’m trying to figure out how 一般 works 	
at least it’ll finally be repaired	
for example, the cafeteria is just downstairs	
i can't read your name (as in, can't recognize the characters)	
measure word	
stop quarreling! if there's a problem, talk it out	别吵了！有什么问题，好好说。
freshmen usually don't have cars. almost all of them ask upperclassmen to take them shopping	新生一遍都没有车。差不多都找老生开车带他们去买东西
on weekends the dorms are generally a bit noisy. it's quieter in the library	周末学校宿舍一般都有一点吵，图书馆比较安静
monday-friday she usually eats at the school cafeteria. on weekends, she often goes out to eat	星期一到星期五，她一般都在学校餐厅吃饭，周末常常去饭馆。
this library is not that great. there are very few books	这个图书馆不怎么样，书很少
what do you think about this building? A: not that great. it's small and old	你觉得这栋楼怎么样？A：不怎么样，又小又旧
what do you think about how the furniture in this room is arranged?	你觉得这波房间的家具摆得怎么样
not good. the bed should be on the right, and the desk should be against the window	不怎么样，床应该靠右，书桌应该靠窗户
his beijing dialect is really good	他说的北京话很地道
this is authentic chinese food	这是地道的中国菜
i bought some authentic japanese tea today	我今天买了一些地道的日本茶
arrogant	
why X instead of Y?	
i don't care	
you said you would help me	
fourth tone	
what does the last part of this say	
random	随机
if nobody raises their hand, i'll just call names	如果没有人举手，我就要点名了
column	列
row	排/行
otherwise	否则
speaker (the device)	音箱
speaker (person speaking)	演讲者
at what (specific) time did you come to Ann Arbor?	你几点来的安娜堡啊？
why is the kid walking around freely	为什么这个小孩子走来走去的？
my phone's hotspot and sweetwater's wifi, neither are working	我的热点和sweetwaters的wifi都不管用
can i have a try	我可以试一试吗
Really? Then I'll move off campus in the future too!	真的吗？那我以后也搬到校外去
Basically means to work hard every day and to improve every day	天天向上
He'll come back to China tomorrow	明天他就要从中国回来了
I went shopping yesterday.	
I went shopping with my friends yesterday. （use 是... 的）	
We went to the mall by car. （use 是... 的）	
We went shopping at the Big Blue mall. （use 是... 的）	
We went there at 10 am. （use 是... 的）	
I bought a pair of pants and some other clothes. （use 是... 的）	
We went to a movie right after shopping. （use 是... 的）	
Miss Gao’s mom drank two cups of tea yesterday.	
Dr. Li invited me to dinner this Tuesday.	
Tomorrow I’ll watch a movie after I eat dinner.	
Little Wang’s oldest brother drank two bottles of water after he had dinner.	
Did Li You drank coffee yesterday?	
Little Wang left the classroom.	
We finished eating.	
My older brother has been learning Chinese for three years.	
Little Li has been swimming for two hours.	
I’ve watched the movie three times, and I don’t want to watch it again.	
Dr Li has already bought five pairs of shoes, she will purchase one more (pair of shoes) and that’ll be plenty.	
Miss Bai has been in the library all afternoon, now she wants to get dinner.	
I’ve been living on campus for two years. I’d like to move off campus.	
Miss Wang emailed my older sister. (use “了 … 了”)	
give it a try	
flash cards	
i do not trust this audio	
i don’t know yet	
i don’t know yet if i’m going to go to the (ball) game	
to look up something online	
do we have any (countable object, e.g. dogs)	
i'm a freshman (colloquial)	我大一
there is a book -lying- on the desk	你能拿多少行李
there are some students in the classroom	教室里有一些学生
on the desk is a map (and no other items)	桌子上是一张地图
there are three photos placed upon the bookshelf	书架上摆着三张照片
there's a street right outside the window... it must be very noisy here, right?	窗户外有一条马路，这里恐怕很吵吧？
how much luggage are you allowed to take?	你能带多少行李
how much luggage can you carry	你能拿多少行李
i just woke up half an hour ago	
i took a quick shower 	
did you two know each other before taking this class?	
which part of studying this subject do you find most hard?	
i’m trying to figure out how 一般 works 	
at least it’ll finally be repaired	
for example, the cafeteria is just downstairs	
i can't read your name (as in, can't recognize the characters)	
measure word	
stop quarreling! if there's a problem, talk it out	别吵了！有什么问题，好好说。
freshmen usually don't have cars. almost all of them ask upperclassmen to take them shopping	新生一遍都没有车。差不多都找老生开车带他们去买东西
on weekends the dorms are generally a bit noisy. it's quieter in the library	周末学校宿舍一般都有一点吵，图书馆比较安静
monday-friday she usually eats at the school cafeteria. on weekends, she often goes out to eat	星期一到星期五，她一般都在学校餐厅吃饭，周末常常去饭馆。
this library is not that great. there are very few books	这个图书馆不怎么样，书很少
what do you think about this building? A: not that great. it's small and old	你觉得这栋楼怎么样？A：不怎么样，又小又旧
what do you think about how the furniture in this room is arranged?	你觉得这波房间的家具摆得怎么样
not good. the bed should be on the right, and the desk should be against the window	不怎么样，床应该靠右，书桌应该靠窗户
his beijing dialect is really good	他说的北京话很地道
this is authentic chinese food	这是地道的中国菜
i bought some authentic japanese tea today	我今天买了一些地道的日本茶
arrogant	
why X instead of Y?	
i don't care	
you said you would help me	
fourth tone	
what does the last part of this say	
im so confused	
listener	观众（audience）
my brother is growing taller	我弟弟长高了
the weather is getting colder and colder	现在天气越来越冷了
he doesn't drink anymore	他不喝酒了
he doens't drink	他不喝酒
I haven't eaten all day	我已经一天没吃饭了
I've been doing homework for three hours	功课我已经做了3个小时了
Im going to shanghai next week	下个星期我们就去上海了
I went shopping yesterday.	
I went shopping with my friends yesterday. （use 是... 的）	
We went to the mall by car. （use 是... 的）	
We went shopping at the Big Blue mall. （use 是... 的）	
We went there at 10 am. （use 是... 的）	
I bought a pair of pants and some other clothes. （use 是... 的）	
We went to a movie right after shopping. （use 是... 的）	
Miss Gao’s mom drank two cups of tea yesterday.	
Dr. Li invited me to dinner this Tuesday.	
Tomorrow I’ll watch a movie after I eat dinner.	
Little Wang’s oldest brother drank two bottles of water after he had dinner.	
Did Li You drank coffee yesterday?	
Little Wang left the classroom.	
Miss Wang emailed my older sister. (use “了 … 了”)	
Little Li went to the library right after the Chinese class.	
Last Saturday, I saw Dr Bai at the airport.	
I want to go to the library on Wednesday evening, but my friend will treat me to Chinese food then, so I’m not going to go to the library.	
I’ll go to the airport after this meeting.	
i&#39;m sorry to hear that	
i don’t know yet	
then you will feel convinient, safe, and free	这样你会觉得又方便又安全，而且自由
if I have money, then it is such a good idea	要是我我有钱，那真是个好办法
you left your hair tie at my place	你把你的头绳落在我家了
u sus	你很奇怪
next to the window	靠窗户
i’m trying to figure out how 一般 works 	
why X instead of Y?	
i don't care	
you said you would help me	
fourth tone	
what does the last part of this say	
im so confused	
it smells like a hotel here	
I went shopping with my friends yesterday. （use 是... 的）	
We went to the mall by car. （use 是... 的）	
We went shopping at the Big Blue mall. （use 是... 的）	
We went there at 10 am. （use 是... 的）	
I bought a pair of pants and some other clothes. （use 是... 的）	
We went to a movie right after shopping. （use 是... 的）	
Miss Gao’s mom drank two cups of tea yesterday.	
Dr. Li invited me to dinner this Tuesday.	
Tomorrow I’ll watch a movie after I eat dinner.	
Little Wang’s oldest brother drank two bottles of water after he had dinner.	
Did Li You drank coffee yesterday?	
Little Wang left the classroom.	
Miss Wang emailed my older sister. (use “了 … 了”)	
Little Li went to the library right after the Chinese class.	
Last Saturday, I saw Dr Bai at the airport.	
I want to go to the library on Wednesday evening, but my friend will treat me to Chinese food then, so I’m not going to go to the library.	
I’ll go to the airport after this meeting.	
i&#39;m sorry to hear that	
i don’t know yet	
i lost my phone charger 	
do we have any (countable object, e.g. dogs)	
sleep soon?	
i just woke up half an hour ago	
i took a quick shower 	
opposite of 老	
that's pretty much the same thing though	
i need to take all of it with me because i wont be coming home between classes	
how do i pronounce kao3 lv4	
today is a weekend. besides, i've already finished all my homework	今天是周末，功课也做完了
the spinish tofu soup here is very good	f
Q：did you know that there's a sale tomorrow at that shoe store nearby？A：I already knew about this	Q: 你知道附近那个鞋垫明天要打折吗？A: 这件事我早就知道了
the ticket for your flight to taipei-- have you booked it?	你去台北的飞机票买好了吗？
i came as soon as i got your text message	我一放到你发的短信跑来了
he put the blanket down on the bed and quickly ran out	他把毯子往床上一放，（就）很快地跑了出去
Q：when are we leaving? A: We'll leave soon as he gets here	Q: 我们什么时候走？A：他一到，我们就去。
this afternoon, as soon my friend came, we went ice skating together	下午我的朋友以来，我们一起去滑冰了
that restaurant was really easy to find. as soon as we started looking, we found it.	那个饭馆很容易找，我们一找就找到了
he's sick. as soon as he starts tries to read, he gets a headache	他病了。一看书头就疼。
i have to drink a lot of water whenever i eat MSG	我一吃味精就得喝很多水
the two kids ran and jumped. they had a great time.	孩子们又跳又跑，玩得非常高兴
that child cried and fussed. we didn't know what to do	那个小孩又哭又吵，我们一点办法也没有
Q: i hear that your roommate moved out and isn't coming back. A: that's right, he did move out, and went to another university with an even better reputation	A：听说你的同屋搬走了，不回来了。Q：没错他是搬走了，他去了了一个有名的大学
i happen to have some free time today. let me go with you to buy some clothes	我今天正好有空，我跟你去买衣服吧
when i looked for him, he happened to be about to go out	我去找他的时候，他正好要出门
coincidentally, my older sister is going back to china this year. you can go with her	我姐姐冬天正好又回中国，你跟他一起去吧
the fish here is really good, especially the steamed fish. the flavor is just awesome	这里的鱼做的很好，特别是清蒸鱼，味道好极了。 
miss wang likes to go shopping, especially for bowls and plates	王小姐喜欢买东西，特别是碗盘
organic fruit is more expensive	有机的水果比一般水果贵
what dishes are delicious? that depends on your taste	什么才好吃？这就要看你的口味了
my backpack fell on the floor	
I went shopping with my friends yesterday. （use 是... 的）	
We went to the mall by car. （use 是... 的）	
We went shopping at the Big Blue mall. （use 是... 的）	
We went there at 10 am. （use 是... 的）	
I bought a pair of pants and some other clothes. （use 是... 的）	
We went to a movie right after shopping. （use 是... 的）	
Miss Gao’s mom drank two cups of tea yesterday.	
Dr. Li invited me to dinner this Tuesday.	
Tomorrow I’ll watch a movie after I eat dinner.	
Little Wang’s oldest brother drank two bottles of water after he had dinner.	
Did Li You drank coffee yesterday?	
Little Wang left the classroom.	
Miss Wang emailed my older sister. (use “了 … 了”)	
Little Li went to the library right after the Chinese class.	
Last Saturday, I saw Dr Bai at the airport.	
I want to go to the library on Wednesday evening, but my friend will treat me to Chinese food then, so I’m not going to go to the library.	
I’ll go to the airport after this meeting.	
i&#39;m sorry to hear that	
i don’t know yet	
i lost my phone charger 	
do we have any (countable object, e.g. dogs)	
sleep soon?	
i just woke up half an hour ago	
i took a quick shower 	
opposite of 老	
that's pretty much the same thing though	
i need to take all of it with me because i wont be coming home between classes	
how do i pronounce kao3 lv4	
today is a weekend. besides, i've already finished all my homework	今天是周末，功课也做完了
the spinish tofu soup here is very good	f
Q：did you know that there's a sale tomorrow at that shoe store nearby？A：I already knew about this	Q: 你知道附近那个鞋垫明天要打折吗？A: 这件事我早就知道了
the ticket for your flight to taipei-- have you booked it?	你去台北的飞机票买好了吗？
i came as soon as i got your text message	我一放到你发的短信跑来了
he put the blanket down on the bed and quickly ran out	他把毯子往床上一放，（就）很快地跑了出去
Q：when are we leaving? A: We'll leave soon as he gets here	Q: 我们什么时候走？A：他一到，我们就去。
this afternoon, as soon my friend came, we went ice skating together	下午我的朋友以来，我们一起去滑冰了
that restaurant was really easy to find. as soon as we started looking, we found it.	那个饭馆很容易找，我们一找就找到了
he's sick. as soon as he starts tries to read, he gets a headache	他病了。一看书头就疼。
i have to drink a lot of water whenever i eat MSG	我一吃味精就得喝很多水
the two kids ran and jumped. they had a great time.	孩子们又跳又跑，玩得非常高兴
that child cried and fussed. we didn't know what to do	那个小孩又哭又吵，我们一点办法也没有
Q: i hear that your roommate moved out and isn't coming back. A: that's right, he did move out, and went to another university with an even better reputation	A：听说你的同屋搬走了，不回来了。Q：没错他是搬走了，他去了了一个有名的大学
i happen to have some free time today. let me go with you to buy some clothes	我今天正好有空，我跟你去买衣服吧
when i looked for him, he happened to be about to go out	我去找他的时候，他正好要出门
coincidentally, my older sister is going back to china this year. you can go with her	我姐姐冬天正好又回中国，你跟他一起去吧
the fish here is really good, especially the steamed fish. the flavor is just awesome	这里的鱼做的很好，特别是清蒸鱼，味道好极了。 
miss wang likes to go shopping, especially for bowls and plates	王小姐喜欢买东西，特别是碗盘
organic fruit is more expensive	有机的水果比一般水果贵
what dishes are delicious? that depends on your taste	什么才好吃？这就要看你的口味了
my backpack fell on the floor	
I went shopping with my friends yesterday. （use 是... 的）	
We went to the mall by car. （use 是... 的）	
We went shopping at the Big Blue mall. （use 是... 的）	
We went there at 10 am. （use 是... 的）	
I bought a pair of pants and some other clothes. （use 是... 的）	
We went to a movie right after shopping. （use 是... 的）	
Miss Gao’s mom drank two cups of tea yesterday.	
Dr. Li invited me to dinner this Tuesday.	
Tomorrow I’ll watch a movie after I eat dinner.	
Little Wang’s oldest brother drank two bottles of water after he had dinner.	
Did Li You drank coffee yesterday?	
Little Wang left the classroom.	
Miss Wang emailed my older sister. (use “了 … 了”)	
Little Li went to the library right after the Chinese class.	
Last Saturday, I saw Dr Bai at the airport.	
I want to go to the library on Wednesday evening, but my friend will treat me to Chinese food then, so I’m not going to go to the library.	
I’ll go to the airport after this meeting.	
i&#39;m sorry to hear that	
i don’t know yet	
i lost my phone charger 	
do we have any (countable object, e.g. dogs)	
sleep soon?	
i just woke up half an hour ago	
i took a quick shower 	
opposite of 老	
that's pretty much the same thing though	
i need to take all of it with me because i wont be coming home between classes	
how do i pronounce kao3 lv4	
today is a weekend. besides, i've already finished all my homework	今天是周末，功课也做完了
the spinish tofu soup here is very good	f
Q：did you know that there's a sale tomorrow at that shoe store nearby？A：I already knew about this	Q: 你知道附近那个鞋垫明天要打折吗？A: 这件事我早就知道了
the ticket for your flight to taipei-- have you booked it?	你去台北的飞机票买好了吗？
i came as soon as i got your text message	我一放到你发的短信跑来了
he put the blanket down on the bed and quickly ran out	他把毯子往床上一放，（就）很快地跑了出去
Q：when are we leaving? A: We'll leave soon as he gets here	Q: 我们什么时候走？A：他一到，我们就去。
this afternoon, as soon my friend came, we went ice skating together	下午我的朋友以来，我们一起去滑冰了
that restaurant was really easy to find. as soon as we started looking, we found it.	那个饭馆很容易找，我们一找就找到了
he's sick. as soon as he starts tries to read, he gets a headache	他病了。一看书头就疼。
i have to drink a lot of water whenever i eat MSG	我一吃味精就得喝很多水
the two kids ran and jumped. they had a great time.	孩子们又跳又跑，玩得非常高兴
that child cried and fussed. we didn't know what to do	那个小孩又哭又吵，我们一点办法也没有
Q: i hear that your roommate moved out and isn't coming back. A: that's right, he did move out, and went to another university with an even better reputation	A：听说你的同屋搬走了，不回来了。Q：没错他是搬走了，他去了了一个有名的大学
i happen to have some free time today. let me go with you to buy some clothes	我今天正好有空，我跟你去买衣服吧
when i looked for him, he happened to be about to go out	我去找他的时候，他正好要出门
coincidentally, my older sister is going back to china this year. you can go with her	我姐姐冬天正好又回中国，你跟他一起去吧
the fish here is really good, especially the steamed fish. the flavor is just awesome	这里的鱼做的很好，特别是清蒸鱼，味道好极了。 
miss wang likes to go shopping, especially for bowls and plates	王小姐喜欢买东西，特别是碗盘
organic fruit is more expensive	有机的水果比一般水果贵
what dishes are delicious? that depends on your taste	什么才好吃？这就要看你的口味了
my backpack fell on the floor	
today is a weekend. besides, i've already finished all my homework	今天是周末，功课也做完了
Q：did you know that there's a sale tomorrow at that shoe store nearby？A：I already knew about this	Q: 你知道附近那个鞋垫明天要打折吗？A: 这件事我早就知道了
the ticket for your flight to taipei-- have you booked it?	你去台北的飞机票买好了吗？
eat your food more slowly. eating too fast is not good for your health	饭要慢慢吃，吃得太快对身体不好
have you finished reading this book	这本书你看完了吗
have you finishedy our homework	功课你做完了吗？
someone outside was calling my name. i opened the door and took a look, and it was the letter carrier	外面有人叫我，我开门一看，是送信的
what the teacher just said— I understood it immediately	老师刚说的话，我一听就懂了
every day my roommate does is homework as soon as he gets back to the dorm	我同屋每天一回宿舍就做功课
i came as soon as i got your text message	我一放到你发的短信跑来了
he put the blanket down on the bed and quickly ran out	他把毯子往床上一放，（就）很快地跑了出去
Q：when are we leaving? A: We'll leave soon as he gets here	Q: 我们什么时候走？A：他一到，我们就去。
this afternoon, as soon my friend came, we went ice skating together	下午我的朋友以来，我们一起去滑冰了
that restaurant was really easy to find. as soon as we started looking, we found it.	那个饭馆很容易找，我们一找就找到了
he's sick. as soon as he starts tries to read, he gets a headache	他病了。一看书头就疼。
i have to drink a lot of water whenever i eat MSG	我一吃味精就得喝很多水
